Frame,Time,S22,LE22,RF2_sum,U2_top
0,0.0,0.0,0.0,0.0,0.0
1,0.009999999776482582,322.79178,0.00623055,4811.802978515625,0.25
2,0.019999999552965164,331.79218,0.01242252,4915.439453125,0.5
3,0.03500000014901161,343.53583,0.021639176,5042.7276611328125,0.875
4,0.054999999701976776,358.28485,0.03379738,5195.67138671875,1.375
5,0.07500000298023224,372.17786,0.045809537,5332.69775390625,1.875
6,0.0949999988079071,385.2876,0.057679113,5455.399169921875,2.375
7,0.11500000208616257,397.66345,0.06940945,5564.969482421875,2.875
8,0.13500000536441803,409.35266,0.081003785,5662.5152587890625,3.375
9,0.1550000011920929,420.39816,0.09246523,5749.034423828125,3.875
10,0.17499999701976776,430.81067,0.103796795,5825.0457763671875,4.375
11,0.19499999284744263,440.64957,0.115001395,5891.6937255859375,4.875
12,0.2150000035762787,449.96423,0.12608184,5949.940185546875,5.375
13,0.23499999940395355,458.7866,0.13704085,6000.478515625,5.875
14,0.2549999952316284,467.14658,0.14788106,6043.9447021484375,6.375
15,0.2750000059604645,475.07217,0.15860502,6080.924072265625,6.875
16,0.29499998688697815,482.58957,0.1692152,6111.9525146484375,7.375
17,0.3149999976158142,489.7232,0.179714,6137.523193359375,7.875
18,0.33500000834465027,496.4957,0.1901037,6158.0859375,8.375
19,0.35499998927116394,502.9289,0.20038657,6174.0631103515625,8.875
20,0.375,509.04294,0.21056476,6185.8380126953125,9.375
21,0.39500001072883606,514.8564,0.22064042,6193.760986328125,9.875
22,0.41499999165534973,520.3868,0.23061557,6198.155517578125,10.375
23,0.4350000023841858,525.6506,0.2404922,6199.3182373046875,10.875
24,0.45500001311302185,530.66315,0.2502722,6197.525634765625,11.375
25,0.4749999940395355,535.43884,0.25995752,6193.0279541015625,11.875
26,0.4950000047683716,539.9913,0.26954994,6186.05712890625,12.375
27,0.5149999856948853,544.33295,0.27905118,6176.8280029296875,12.875
28,0.5350000262260437,548.4758,0.28846303,6165.535888671875,13.375
29,0.5550000071525574,552.43097,0.2977871,6152.36328125,13.875
30,0.574999988079071,556.2087,0.30702505,6137.4755859375,14.375
31,0.5950000286102295,559.81866,0.3161784,6121.024169921875,14.875
32,0.6150000095367432,563.2666,0.32524878,6103.114013671875,15.375
33,0.6349999904632568,566.5526,0.3342376,6083.78662109375,15.875
34,0.6549999713897705,569.6971,0.34314635,6063.294677734375,16.375
35,0.675000011920929,572.7075,0.35197642,6041.749267578125,16.875
36,0.6949999928474426,575.59106,0.36072922,6019.2529296875,17.375
37,0.7149999737739563,578.3545,0.36940604,5995.899658203125,17.875
38,0.7350000143051147,581.00415,0.37800828,5971.77734375,18.375
39,0.7549999952316284,583.5458,0.3865371,5946.9635009765625,18.875
40,0.7749999761581421,585.9713,0.3949938,5921.3946533203125,19.375
41,0.7950000166893005,588.29535,0.4033796,5895.235595703125,19.875
42,0.8149999976158142,590.5279,0.41169566,5868.6004638671875,20.375
43,0.8349999785423279,592.6736,0.41994312,5841.546630859375,20.875
44,0.8550000190734863,594.7366,0.42812315,5814.1253662109375,21.375
45,0.875,596.7174,0.43623677,5786.3507080078125,21.875
46,0.8949999809265137,598.6085,0.4442851,5758.157958984375,22.375
47,0.9150000214576721,600.4294,0.45226917,5729.74365234375,22.875
48,0.9350000023841858,602.18353,0.46019,5701.1456298828125,23.375
49,0.9549999833106995,603.8741,0.4680486,5672.398681640625,23.875
50,0.9750000238418579,605.4947,0.4758459,5643.4454345703125,24.375
51,0.9950000047683716,607.04865,0.48358288,5614.322509765625,24.875
52,1.0,607.4328,0.48550782,5607.0721435546875,25.0
