Frame,Time,U2_mm,RF2_quarter_N,RF2_full_N,EngStress_MPa,EngStrain
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.009999999776482582,0.25,4811.802978515625,9623.60595703125,320.786865234375,0.00625
2,0.019999999552965164,0.5,4915.439453125,9830.87890625,327.6959635416667,0.0125
3,0.03500000014901161,0.875,5042.7276611328125,10085.455322265625,336.1818440755208,0.021875
4,0.054999999701976776,1.375,5195.67138671875,10391.3427734375,346.3780924479167,0.034375
5,0.07500000298023224,1.875,5332.69775390625,10665.3955078125,355.51318359375,0.046875
6,0.0949999988079071,2.375,5455.399169921875,10910.79833984375,363.6932779947917,0.059375
7,0.11500000208616257,2.875,5564.969482421875,11129.93896484375,370.9979654947917,0.071875
8,0.13500000536441803,3.375,5662.5152587890625,11325.030517578125,377.5010172526042,0.084375
9,0.1550000011920929,3.875,5749.034423828125,11498.06884765625,383.2689615885417,0.096875
10,0.17499999701976776,4.375,5825.0457763671875,11650.091552734375,388.3363850911458,0.109375
11,0.19499999284744263,4.875,5891.6937255859375,11783.387451171875,392.7795817057292,0.121875
12,0.2150000035762787,5.375,5949.940185546875,11899.88037109375,396.6626790364583,0.134375
13,0.23499999940395355,5.875,6000.478515625,12000.95703125,400.0319010416667,0.146875
14,0.2549999952316284,6.375,6043.9447021484375,12087.889404296875,402.9296468098958,0.159375
15,0.2750000059604645,6.875,6080.924072265625,12161.84814453125,405.3949381510417,0.171875
16,0.29499998688697815,7.375,6111.9525146484375,12223.905029296875,407.4635009765625,0.184375
17,0.3149999976158142,7.875,6137.523193359375,12275.04638671875,409.168212890625,0.196875
18,0.33500000834465027,8.375,6158.0859375,12316.171875,410.5390625,0.209375
19,0.35499998927116394,8.875,6174.0631103515625,12348.126220703125,411.6042073567708,0.221875
20,0.375,9.375,6185.8380126953125,12371.676025390625,412.3892008463542,0.234375
21,0.39500001072883606,9.875,6193.760986328125,12387.52197265625,412.9173990885417,0.246875
22,0.41499999165534973,10.375,6198.155517578125,12396.31103515625,413.2103678385417,0.259375
23,0.4350000023841858,10.875,6199.3182373046875,12398.636474609375,413.2878824869792,0.271875
24,0.45500001311302185,11.375,6197.525634765625,12395.05126953125,413.1683756510417,0.284375
25,0.4749999940395355,11.875,6193.0279541015625,12386.055908203125,412.8685302734375,0.296875
26,0.4950000047683716,12.375,6186.05712890625,12372.1142578125,412.40380859375,0.309375
27,0.5149999856948853,12.875,6176.8280029296875,12353.656005859375,411.7885335286458,0.321875
28,0.5350000262260437,13.375,6165.535888671875,12331.07177734375,411.0357259114583,0.334375
29,0.5550000071525574,13.875,6152.36328125,12304.7265625,410.1575520833333,0.346875
30,0.574999988079071,14.375,6137.4755859375,12274.951171875,409.1650390625,0.359375
31,0.5950000286102295,14.875,6121.024169921875,12242.04833984375,408.0682779947917,0.371875
32,0.6150000095367432,15.375,6103.114013671875,12206.22802734375,406.874267578125,0.384375
33,0.6349999904632568,15.875,6083.78662109375,12167.5732421875,405.5857747395833,0.396875
34,0.6549999713897705,16.375,6063.294677734375,12126.58935546875,404.2196451822917,0.409375
35,0.675000011920929,16.875,6041.749267578125,12083.49853515625,402.7832845052083,0.421875
36,0.6949999928474426,17.375,6019.2529296875,12038.505859375,401.2835286458333,0.434375
37,0.7149999737739563,17.875,5995.899658203125,11991.79931640625,399.7266438802083,0.446875
38,0.7350000143051147,18.375,5971.77734375,11943.5546875,398.1184895833333,0.459375
39,0.7549999952316284,18.875,5946.9635009765625,11893.927001953125,396.4642333984375,0.471875
40,0.7749999761581421,19.375,5921.3946533203125,11842.789306640625,394.7596435546875,0.484375
41,0.7950000166893005,19.875,5895.235595703125,11790.47119140625,393.0157063802083,0.496875
42,0.8149999976158142,20.375,5868.6004638671875,11737.200927734375,391.2400309244792,0.509375
43,0.8349999785423279,20.875,5841.546630859375,11683.09326171875,389.4364420572917,0.521875
44,0.8550000190734863,21.375,5814.1253662109375,11628.250732421875,387.6083577473958,0.534375
45,0.875,21.875,5786.3507080078125,11572.701416015625,385.7567138671875,0.546875
46,0.8949999809265137,22.375,5758.157958984375,11516.31591796875,383.877197265625,0.559375
47,0.9150000214576721,22.875,5729.74365234375,11459.4873046875,381.98291015625,0.571875
48,0.9350000023841858,23.375,5701.1456298828125,11402.291259765625,380.0763753255208,0.584375
49,0.9549999833106995,23.875,5672.398681640625,11344.79736328125,378.159912109375,0.596875
50,0.9750000238418579,24.375,5643.4454345703125,11286.890869140625,376.2296956380208,0.609375
51,0.9950000047683716,24.875,5614.322509765625,11228.64501953125,374.2881673177083,0.621875
52,1.0,25.0,5607.0721435546875,11214.144287109375,373.8048095703125,0.625
