Frame,Time,S22,E22,PE22,PEEQ
0,0.0,0.0,0.0,0.0,0.0
1,0.009999999776482582,322.79178,0.00623055,0.004616309,0.0046712434850633144
2,0.019999999552965164,331.79218,0.01242252,0.010763524,0.010891610756516457
3,0.03500000014901161,343.53583,0.021639176,0.01992139,0.02015845663845539
4,0.054999999701976776,358.28485,0.03379738,0.0320057,0.032386571168899536
5,0.07500000298023224,372.17786,0.045809537,0.043948248,0.04447123408317566
6,0.0949999988079071,385.2876,0.057679113,0.055752136,0.05641558766365051
7,0.11500000208616257,397.66345,0.06940945,0.06742046,0.0682227686047554
8,0.13500000536441803,409.35266,0.081003785,0.07895622,0.07989580184221268
9,0.1550000011920929,420.39816,0.09246523,0.09036231,0.09143762290477753
10,0.17499999701976776,430.81067,0.103796795,0.10164169,0.10285122692584991
11,0.19499999284744263,440.64957,0.115001395,0.11279698,0.11413926631212234
12,0.2150000035762787,449.96423,0.12608184,0.123830736,0.12530432641506195
13,0.23499999940395355,458.7866,0.13704085,0.13474552,0.13634900748729706
14,0.2549999952316284,467.14658,0.14788106,0.14554384,0.14727580547332764
15,0.2750000059604645,475.07217,0.15860502,0.15622807,0.15808717906475067
16,0.29499998688697815,482.58957,0.1692152,0.16680056,0.16878549754619598
17,0.3149999976158142,489.7232,0.179714,0.17726359,0.17937302589416504
18,0.33500000834465027,496.4957,0.1901037,0.18761933,0.18985199928283691
19,0.35499998927116394,502.9289,0.20038657,0.19786994,0.2002245932817459
20,0.375,509.04294,0.21056476,0.20801748,0.21049289405345917
21,0.39500001072883606,514.8564,0.22064042,0.218064,0.22065894305706024
22,0.41499999165534973,520.3868,0.23061557,0.2280114,0.2307247370481491
23,0.4350000023841858,525.6506,0.2404922,0.23786162,0.24069218337535858
24,0.45500001311302185,530.66315,0.2502722,0.24761651,0.2505631446838379
25,0.4749999940395355,535.43884,0.25995752,0.25727788,0.2603394687175751
26,0.4950000047683716,539.9913,0.26954994,0.26684743,0.2700228989124298
27,0.5149999856948853,544.33295,0.27905118,0.2763269,0.279615193605423
28,0.5350000262260437,548.4758,0.28846303,0.28571796,0.2891179919242859
29,0.5550000071525574,552.43097,0.2977871,0.2950222,0.29853296279907227
30,0.574999988079071,556.2087,0.30702505,0.30424118,0.30786165595054626
31,0.5950000286102295,559.81866,0.3161784,0.31337646,0.31710562109947205
32,0.6150000095367432,563.2666,0.32524878,0.3224295,0.32626640796661377
33,0.6349999904632568,566.5526,0.3342376,0.33140182,0.3353455066680908
34,0.6549999713897705,569.6971,0.34314635,0.3402948,0.3443443179130554
35,0.675000011920929,572.7075,0.35197642,0.34910977,0.353264182806015
36,0.6949999928474426,575.59106,0.36072922,0.35784808,0.36210647225379944
37,0.7149999737739563,578.3545,0.36940604,0.36651105,0.37087252736091614
38,0.7350000143051147,581.00415,0.37800828,0.37509996,0.37956365942955017
39,0.7549999952316284,583.5458,0.3865371,0.38361603,0.38818106055259705
40,0.7749999761581421,585.9713,0.3949938,0.39206058,0.3967261016368866
41,0.7950000166893005,588.29535,0.4033796,0.4004347,0.4051998555660248
42,0.8149999976158142,590.5279,0.41169566,0.40873954,0.4136035442352295
43,0.8349999785423279,592.6736,0.41994312,0.41697624,0.4219382405281067
44,0.8550000190734863,594.7366,0.42812315,0.42514586,0.4302051067352295
45,0.875,596.7174,0.43623677,0.43324956,0.43840524554252625
46,0.8949999809265137,598.6085,0.4442851,0.44128838,0.4465397298336029
47,0.9150000214576721,600.4294,0.45226917,0.44926333,0.45460954308509827
48,0.9350000023841858,602.18353,0.46019,0.45717534,0.4626157283782959
49,0.9549999833106995,603.8741,0.4680486,0.46502542,0.4705592393875122
50,0.9750000238418579,605.4947,0.4758459,0.47281462,0.4784410893917084
51,0.9950000047683716,607.04865,0.48358288,0.4805438,0.4862622618675232
52,1.0,607.4328,0.48550782,0.4824668,0.488208144903183
